game_id,commence_time,snapshot_time,home_team,away_team,sport_key,sport_title,fa_ml_home,fa_ml_away,be_ml_home,be_ml_away,be_total_line,be_total_over_price,be_total_under_price,opening_fd_home_ml,closing_fd_home_ml,opening_pinnacle_ml_home_x,opening_pinnacle_spread_home_line_x,opening_pinnacle_total_line_x,closing_pinnacle_ml_home,closing_pinnacle_spread_home_line,closing_pinnacle_total_line,pinnacle_ml_home_movement,pinnacle_spread_home_line_movement,pinnacle_total_line_movement,opening_pinnacle_ml_home_y,opening_pinnacle_spread_home_line_y,opening_pinnacle_total_line_y,pi_spread_home_line,pi_spread_home_price,pi_spread_away_line,pi_spread_away_price,pi_total_line,pi_total_over_price,pi_total_under_price,pi_ml_home,pi_ml_away,opening_pinnacle_ml_home,opening_pinnacle_spread_home_line,opening_pinnacle_total_line
eb898cc43927a1be0c1c1f091da52f4d,2021-04-01T17:05:00Z,2021-04-01T16:55:00Z,New York Yankees,Toronto Blue Jays,baseball_mlb,MLB,-192.0,162.0,-185.0,165.0,8.0,-110.0,-110.0,-192.0,-192.0,-182.0,-1.5,8.0,-182.0,-1.5,8.0,0.0,0.0,0.0,-182.0,-1.5,8.0,-1.5,105.0,1.5,-116.0,8.0,-109.0,-103.0,-182.0,167.0,-182.0,-1.5,8.0
5ef73c50c8c6d98ca5571ea4c4e9b5b7,2021-04-01T17:10:00Z,2021-04-01T16:55:00Z,Detroit Tigers,Cleveland Indians,baseball_mlb,MLB,142.0,-167.0,165.0,-189.0,7.5,-105.0,-115.0,142.0,142.0,159.0,1.5,7.5,159.0,1.5,7.5,0.0,0.0,0.0,159.0,1.5,7.5,1.5,101.0,-1.5,-112.0,7.5,-102.0,-110.0,159.0,-175.0,159.0,1.5,7.5
9204ed4b0cc075f041db9a4e332b9db4,2021-04-01T18:10:00Z,2021-04-01T16:55:00Z,Milwaukee Brewers,Minnesota Twins,baseball_mlb,MLB,-120.0,102.0,-110.0,100.0,7.5,-110.0,-110.0,-120.0,-120.0,-105.0,1.5,7.5,-105.0,1.5,7.5,0.0,0.0,0.0,-105.0,1.5,7.5,1.5,-179.0,-1.5,159.0,7.5,-101.0,-111.0,-105.0,-103.0,-105.0,1.5,7.5
9e97c14ee897e282b52eb3ec127b9adc,2021-04-01T18:20:00Z,2021-04-01T16:55:00Z,Chicago Cubs,Pittsburgh Pirates,baseball_mlb,MLB,-227.0,188.0,-200.0,185.0,7.0,-110.0,-110.0,-227.0,-227.0,-204.0,-1.5,6.5,-204.0,-1.5,6.5,0.0,0.0,0.0,-204.0,-1.5,6.5,-1.5,108.0,1.5,-119.0,6.5,-119.0,106.0,-204.0,187.0,-204.0,-1.5,6.5
083f3aaa7b83b33f02a46a644b5276c9,2021-04-01T19:05:00Z,2021-04-01T16:55:00Z,Philadelphia Phillies,Atlanta Braves,baseball_mlb,MLB,-130.0,110.0,-115.0,105.0,7.0,-120.0,100.0,-130.0,-130.0,-116.0,-1.5,7.5,-116.0,-1.5,7.5,0.0,0.0,0.0,-116.0,-1.5,7.5,-1.5,187.0,1.5,-213.0,7.5,106.0,-119.0,-116.0,107.0,-116.0,-1.5,7.5
b0b9ae9c23f344cef0b44243c5ddcc91,2021-04-01T20:10:00Z,2021-04-01T16:55:00Z,San Diego Padres,Arizona Diamondbacks,baseball_mlb,MLB,-270.0,220.0,-250.0,210.0,8.0,-115.0,-105.0,-270.0,-270.0,-233.0,-1.5,8.5,-233.0,-1.5,8.5,0.0,0.0,0.0,-233.0,-1.5,8.5,-1.5,-118.0,1.5,106.0,8.5,101.0,-114.0,-233.0,209.0,-233.0,-1.5,8.5
ff7b57cadf3497fd3a93f988f615ddf3,2021-04-01T20:10:00Z,2021-04-01T16:55:00Z,Colorado Rockies,Los Angeles Dodgers,baseball_mlb,MLB,184.0,-222.0,195.0,-227.0,11.0,-115.0,-105.0,184.0,184.0,192.0,1.5,11.0,192.0,1.5,11.0,0.0,0.0,0.0,192.0,1.5,11.0,1.5,127.0,-1.5,-141.0,11.0,-109.0,-103.0,192.0,-208.0,192.0,1.5,11.0
36d9176ecd7bf5bebcd1ddd779e40cf0,2021-04-01T20:10:00Z,2021-04-01T16:55:00Z,Miami Marlins,Tampa Bay Rays,baseball_mlb,MLB,132.0,-156.0,130.0,-145.0,7.5,100.0,-120.0,132.0,132.0,133.0,1.5,7.0,133.0,1.5,7.0,0.0,0.0,0.0,133.0,1.5,7.0,1.5,-133.0,-1.5,120.0,7.0,-120.0,107.0,133.0,-145.0,133.0,1.5,7.0
b0537b313c92bc74b7c8fe0dd7e36271,2021-04-01T20:10:00Z,2021-04-01T16:55:00Z,Kansas City Royals,Texas Rangers,baseball_mlb,MLB,-161.0,136.0,-161.0,145.0,8.5,-110.0,-110.0,-161.0,-161.0,-152.0,-1.5,8.5,-152.0,-1.5,8.5,0.0,0.0,0.0,-152.0,-1.5,8.5,-1.5,129.0,1.5,-143.0,8.5,-105.0,-108.0,-152.0,140.0,-152.0,-1.5,8.5
fa7f8583e45c629772603f6000d248b4,2021-04-01T20:10:00Z,2021-04-01T16:55:00Z,Cincinnati Reds,St. Louis Cardinals,baseball_mlb,MLB,-118.0,100.0,-115.0,105.0,7.5,100.0,-120.0,-118.0,-118.0,-116.0,-1.5,7.0,-116.0,-1.5,7.0,0.0,0.0,0.0,-116.0,-1.5,7.0,-1.5,179.0,1.5,-200.0,7.0,-116.0,103.0,-116.0,107.0,-116.0,-1.5,7.0
064e07cfc38291b7fe00d90eff5d6b38,2021-04-01T23:08:00Z,2021-04-01T16:55:00Z,Washington Nationals,New York Mets,baseball_mlb,MLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf548d5fc0e755984d8602456e3258b,2021-04-02T02:05:00Z,2021-04-01T16:55:00Z,Los Angeles Angels,Chicago White Sox,baseball_mlb,MLB,102.0,-120.0,105.0,-115.0,8.0,-110.0,-110.0,102.0,102.0,105.0,1.5,8.0,105.0,1.5,8.0,0.0,0.0,0.0,105.0,1.5,8.0,1.5,-156.0,-1.5,140.0,8.0,-112.0,-101.0,105.0,-114.0,105.0,1.5,8.0
4e110533c3c74dccb4d92dfd40592bf0,2021-04-02T02:07:00Z,2021-04-01T16:55:00Z,Oakland Athletics,Houston Astros,baseball_mlb,MLB,-106.0,-110.0,-105.0,-105.0,8.0,-115.0,-105.0,-106.0,-106.0,100.0,-1.5,8.5,100.0,-1.5,8.5,0.0,0.0,0.0,100.0,-1.5,8.5,-1.5,189.0,1.5,-213.0,8.5,100.0,-112.0,100.0,-108.0,100.0,-1.5,8.5
e8756307c58a3acc443bd1813c55f5b1,2021-04-02T02:10:00Z,2021-04-01T16:55:00Z,Seattle Mariners,San Francisco Giants,baseball_mlb,MLB,100.0,-118.0,-105.0,-105.0,8.0,-115.0,-105.0,100.0,100.0,105.0,1.5,8.0,105.0,1.5,8.0,0.0,0.0,0.0,105.0,1.5,8.0,1.5,-156.0,-1.5,140.0,8.0,-106.0,-106.0,105.0,-114.0,105.0,1.5,8.0
