game_id,commence_time,snapshot_time,home_team,away_team,sport_key,sport_title,dr_ml_home,dr_ml_away,dr_spread_home_line,dr_spread_home_price,dr_spread_away_line,dr_spread_away_price,dr_total_line,dr_total_over_price,dr_total_under_price,fa_ml_home,fa_ml_away,fa_spread_home_line,fa_spread_home_price,fa_spread_away_line,fa_spread_away_price,fa_total_line,fa_total_over_price,fa_total_under_price,be_ml_home,be_ml_away,be_spread_home_line,be_spread_home_price,be_spread_away_line,be_spread_away_price,be_total_line,be_total_over_price,be_total_under_price,opening_spread,opening_fd_spread,opening_dk_home_ml,opening_dk_away_ml,opening_fd_home_ml,opening_total,closing_spread,closing_fd_spread,closing_dk_home_ml,closing_dk_away_ml,closing_fd_home_ml,closing_total,spread_movement,dk_home_ml_movement,total_movement,pi_ml_away,pi_ml_home,pi_spread_away_line,pi_spread_away_price,pi_spread_home_line,pi_spread_home_price,pi_total_line,pi_total_over_price,pi_total_under_price,opening_pinnacle_ml_home_x,opening_pinnacle_spread_home_line_x,opening_pinnacle_total_line_x,closing_pinnacle_ml_home,closing_pinnacle_spread_home_line,closing_pinnacle_total_line,pinnacle_ml_home_movement,pinnacle_spread_home_line_movement,pinnacle_total_line_movement,opening_pinnacle_ml_home_y,opening_pinnacle_spread_home_line_y,opening_pinnacle_total_line_y,opening_pinnacle_ml_home,opening_pinnacle_spread_home_line,opening_pinnacle_total_line
770eb6031f43995eaaeda5a11217406a,2024-03-21T10:05:00Z,2024-03-20T16:55:38Z,Los Angeles Dodgers,San Diego Padres,baseball_mlb,MLB,-185.0,154.0,-1.5,110.0,1.5,-130.0,8.5,-115.0,-105.0,-184.0,154.0,-1.5,114.0,1.5,-137.0,8.5,-120.0,-102.0,-185.0,150.0,-1.5,115.0,1.5,-135.0,8.5,-115.0,-105.0,-1.5,-1.5,-185.0,154.0,-184.0,8.5,-1.5,-1.5,-185.0,154.0,-184.0,8.5,0.0,0.0,0.0,165.0,-180.0,1.5,-129.0,-1.5,117.0,8.5,-115.0,103.0,-180.0,-1.5,8.5,-180.0,-1.5,8.5,0.0,0.0,0.0,-180.0,-1.5,8.5,-180.0,-1.5,8.5
770eb6031f43995eaaeda5a11217406a,2024-03-21T10:05:00Z,2024-03-21T14:00:39Z,Los Angeles Dodgers,San Diego Padres,baseball_mlb,MLB,,,3.5,1100.0,-3.5,-2500.0,,,,,,3.5,280.0,-3.5,-390.0,26.5,280.0,-390.0,3300.0,-10000.0,3.5,1150.0,-3.5,-5000.0,,,,-1.5,-1.5,-185.0,154.0,-184.0,8.5,-1.5,-1.5,-185.0,154.0,-184.0,8.5,0.0,0.0,0.0,,,-4.0,109.0,4.0,-137.0,26.5,-112.0,-112.0,-180.0,-1.5,8.5,-180.0,-1.5,8.5,0.0,0.0,0.0,-180.0,-1.5,8.5,-180.0,-1.5,8.5
338f0ba048dfb4fb0415d3b76cbc5e09,2024-03-28T17:10:00Z,2024-03-22T16:55:39Z,New York Mets,Milwaukee Brewers,baseball_mlb,MLB,-110.0,-110.0,,,,,,,,-108.0,-108.0,,,,,,,,-115.0,-105.0,,,,,,,,1.5,1.5,-110.0,-110.0,-108.0,7.5,1.5,1.5,-110.0,-110.0,-108.0,7.5,0.0,0.0,0.0,,,,,,,,,,-105.0,-1.5,7.5,-108.0,-1.5,7.5,-3.0,0.0,0.0,-105.0,-1.5,7.5,-105.0,-1.5,7.5
69e2ace71618b487f883c10990ebdb3b,2024-03-28T19:05:00Z,2024-03-22T16:55:39Z,Philadelphia Phillies,Atlanta Braves,baseball_mlb,MLB,114.0,-135.0,,,,,,,,112.0,-132.0,,,,,,,,110.0,-130.0,,,,,,,,1.5,1.5,114.0,-135.0,112.0,7.5,1.5,1.5,105.0,-125.0,110.0,7.5,0.0,-9.0,0.0,,,,,,,,,,113.0,1.5,7.5,112.0,1.5,7.5,-1.0,0.0,0.0,113.0,1.5,7.5,113.0,1.5,7.5
7946d8fc8b9f478e322bb607c2e4f678,2024-03-28T19:05:00Z,2024-03-22T16:55:39Z,Baltimore Orioles,Los Angeles Angels,baseball_mlb,MLB,-162.0,136.0,,,,,,,,-162.0,136.0,,,,,,,,-175.0,145.0,,,,,,,,-1.5,-1.5,-162.0,136.0,-162.0,8.0,-1.5,-1.5,-185.0,154.0,-184.0,7.5,0.0,-23.0,-0.5,,,,,,,,,,-177.0,-1.5,8.0,-176.0,-1.5,7.5,1.0,0.0,-0.5,-177.0,-1.5,8.0,-177.0,-1.5,8.0
3ca3147f1c3ed1f17075abda89a425dc,2024-03-28T20:10:00Z,2024-03-22T16:55:39Z,Chicago White Sox,Detroit Tigers,baseball_mlb,MLB,140.0,-166.0,,,,,,,,138.0,-164.0,,,,,,,,140.0,-165.0,,,,,,,,1.5,1.5,140.0,-166.0,138.0,8.0,1.5,1.5,136.0,-162.0,138.0,7.5,0.0,-4.0,-0.5,,,,,,,,,,158.0,1.5,8.0,143.0,1.5,8.0,-15.0,0.0,0.0,158.0,1.5,8.0,158.0,1.5,8.0
a0e9acc2f6e7b07e0966d985445f86ff,2024-03-28T20:10:00Z,2024-03-22T16:55:39Z,Cincinnati Reds,Washington Nationals,baseball_mlb,MLB,-162.0,136.0,,,,,,,,-162.0,136.0,,,,,,,,-175.0,145.0,-1.5,110.0,1.5,-135.0,9.0,-110.0,-110.0,-1.5,-1.5,-162.0,136.0,-162.0,9.0,-1.5,-1.5,-155.0,130.0,-152.0,9.5,0.0,7.0,0.5,,,,,,,,,,-149.0,-1.5,9.0,-148.0,-1.5,9.5,1.0,0.0,0.5,-149.0,-1.5,9.0,-149.0,-1.5,9.0
21d357c43a8d421fb85bdf11f9972aaa,2024-03-28T20:10:00Z,2024-03-22T16:55:39Z,Houston Astros,New York Yankees,baseball_mlb,MLB,-155.0,130.0,,,,,,,,-156.0,132.0,,,,,,,,-155.0,130.0,,,,,,,,-1.5,-1.5,-155.0,130.0,-156.0,8.5,-1.5,-1.5,-155.0,130.0,-152.0,8.5,0.0,0.0,0.0,,,,,,,,,,-150.0,-1.5,8.5,-144.0,-1.5,8.5,6.0,0.0,0.0,-150.0,-1.5,8.5,-150.0,-1.5,8.5
2ee547de801aec02412b682276700744,2024-03-28T20:10:00Z,2024-03-22T16:55:39Z,Kansas City Royals,Minnesota Twins,baseball_mlb,MLB,110.0,-130.0,,,,,,,,112.0,-132.0,,,,,,,,110.0,-130.0,,,,,,,,1.5,1.5,110.0,-130.0,112.0,7.5,1.5,1.5,110.0,-130.0,108.0,8.5,0.0,0.0,1.0,,,,,,,,,,103.0,1.5,7.5,115.0,1.5,8.5,12.0,0.0,1.0,103.0,1.5,7.5,103.0,1.5,7.5
538b629d022b2f2c684108de4f5a080c,2024-03-28T20:10:00Z,2024-03-22T16:55:39Z,Los Angeles Dodgers,St. Louis Cardinals,baseball_mlb,MLB,-192.0,160.0,,,,,,,,,,,,,,,,,-200.0,165.0,,,,,,,,-1.5,-1.5,-192.0,160.0,-210.0,8.5,-1.5,-1.5,-238.0,195.0,-240.0,8.5,0.0,-46.0,0.0,,,,,,,,,,-223.0,-1.5,9.0,-224.0,-1.5,8.5,-1.0,0.0,-0.5,-223.0,-1.5,9.0,-223.0,-1.5,9.0
